ENTITY_CD,ENTITY_NAME,YEAR,NUM_SUSPENSIONS,PER_SUSPENSIONS
010100010000,ALBANY CITY SCHOOL DISTRICT,2015,1177,14
010100010014,MONTESSORI MAGNET SCHOOL,2015,2,1
010100010016,PINE HILLS ELEMENTARY SCHOOL,2015,9,2
010100010018,DELAWARE COMMUNITY SCHOOL,2015,34,8
010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,2015,13,3
010100010020,NORTH ALBANY ACADEMY,2015,52,14
010100010023,ALBANY SCHOOL OF HUMANITIES,2015,1,0
010100010027,EAGLE POINT ELEMENTARY SCHOOL,2015,15,5
010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,2015,23,5
010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,2015,75,17
010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,2015,195,31
010100010034,ALBANY HIGH SCHOOL,2015,471,20
010100010039,ARBOR HILL ELEMENTARY SCHOOL,2015,68,18
010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,2015,18,9
010100010044,SHERIDAN PREPARATORY ACADEMY,2015,56,15
010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,2015,145,21
010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,2015,29,10
010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,2015,25,9
010100860867,KIPP TECH VALLEY CHARTER SCHOOL,2015,70,24
010100860892,HENRY JOHNSON CHARTER SCHOOL,2015,20,5
010100860899,ALBANY COMMUNITY CHARTER SCHOOL,2015,64,10
010100860907,GREEN TECH HIGH CHARTER SCHOOL,2015,144,42
010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,2015,83,22
010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,2015,22,3
010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,2015,18,4
010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,2015,4,1
010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,2015,69,1
010306060003,ELSMERE ELEMENTARY SCHOOL,2015,2,1
010306060004,GLENMONT ELEMENTARY SCHOOL,2015,3,1
010306060006,SLINGERLANDS ELEMENTARY SCHOOL,2015,1,0
010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,2015,14,1
010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,2015,49,3
010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,2015,99,5
010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,2015,39,7
010402060002,ALBERTUS W BECKER SCHOOL,2015,6,1
010402060003,PIETER B COEYMANS SCHOOL,2015,4,1
010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,2015,50,11
010500010000,COHOES CITY SCHOOL DISTRICT,2015,149,8
010500010005,ABRAM LANSING SCHOOL,2015,3,1
010500010006,VAN SCHAICK ISLAND SCHOOL,2015,1,1
010500010007,COHOES HIGH SCHOOL,2015,71,14
010500010008,COHOES MIDDLE SCHOOL,2015,65,15
010500010009,HARMONY HILL SCHOOL,2015,9,2
010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2015,127,3
010601060003,ROESSLEVILLE SCHOOL,2015,3,1
010601060008,COLONIE CENTRAL HIGH SCHOOL,2015,29,2
010601060010,FOREST PARK ELEMENTARY SCHOOL,2015,2,1
010601060011,VEEDER ELEMENTARY SCHOOL,2015,1,0
010601060012,SAND CREEK MIDDLE SCHOOL,2015,51,6
010601060013,LISHA KILL MIDDLE SCHOOL,2015,41,6
010615020000,MENANDS UNION FREE SCHOOL DISTRICT,2015,3,1
010615020001,MENANDS SCHOOL,2015,3,1
010623060000,NORTH COLONIE CSD,2015,195,4
010623060002,BLUE CREEK SCHOOL,2015,4,1
010623060006,LATHAM RIDGE SCHOOL,2015,2,0
010623060007,LOUDONVILLE SCHOOL,2015,3,1
010623060008,SOUTHGATE SCHOOL,2015,1,0
010623060009,SHAKER JUNIOR HIGH SCHOOL,2015,15,2
010623060010,SHAKER HIGH SCHOOL,2015,170,9
010701030000,GREEN ISLAND UNION FREE SCHOOL DISTRICT,2015,23,7
010701030001,HEATLY SCHOOL,2015,23,7
010802060000,GUILDERLAND CENTRAL SCHOOL DISTRICT,2015,57,1
010802060001,ALTAMONT ELEMENTARY SCHOOL,2015,2,1
010802060003,GUILDERLAND ELEMENTARY SCHOOL,2015,4,1
010802060005,GUILDERLAND HIGH SCHOOL,2015,43,3
010802060007,LYNNWOOD ELEMENTARY SCHOOL,2015,1,0
010802060008,FARNSWORTH MIDDLE SCHOOL,2015,6,1
010802060009,PINE BUSH ELEMENTARY SCHOOL,2015,1,0
011003060000,VOORHEESVILLE CENTRAL SCHOOL DISTRICT,2015,15,1
011003060002,CLAYTON A BOUTON HIGH SCHOOL,2015,13,3
011003060003,VOORHEESVILLE MIDDLE SCHOOL,2015,2,1
011200010000,WATERVLIET CITY SCHOOL DISTRICT,2015,48,4
